Name,Comment,Time,Likes,Reply Count
freeCodeCamp.org,"Click the ""JOIN"" button below the video to support freeCodeCamp.org!",2020-04-08T23:11:28Z,952,41
SHIVANI GUPTA,"Getting this error after running command student and creating table on popsql as shown at 1hr 15 mins:: ""Can't connect to local MySQL server through socket""... Please someone guide",2021-11-12T14:46:19Z,0,
Ricardo Velasquez,@Raghvendra Swarnakar man did you find a solution for this problem? I have the same problem and I dont know hoe to fix it...,2021-10-25T09:00:29Z,0,
Mohammed Aminu,can anybody help me with idea on how to delete the table when done? i want to delete everything and start over again on my own. please i truly will appreciate any help,2021-09-13T07:49:57Z,0,
Rishav Gupta,"where can i find the code for creating that complex table and code for inserting values, that is not provided in the description.",2021-08-31T15:54:20Z,0,
silmar pinheiro,"By ""JOIN"" do you mean outer join? Inner join? What kind of join?",2021-08-19T13:59:45Z,0,
Ryker!!!,"@himanshu keshtwal my laptop support 64bit but the app is only showing 32bit, what do i do?",2021-07-27T12:51:32Z,0,
Rashika Sareen,"I want to ask that while inserting information on timestamp 2:26:34 we had put Null in place of 1 under branch_id column as corporate branch was not created till that moment. 
I want to ask that is it not possible to first create corporate branch and fill it's information then afterwards fill information in employee table?",2021-07-10T20:17:21Z,0,
임재orosy,THANK YOU.,2021-07-05T09:17:35Z,0,
Kamelia Dimitrovs,"Hello, your video is so helpful, I’m just having trouble instilling the program, I tried on Mac and windows but is giving me just zip file. I tried to install it but there no installation files at all.
What to do?",2021-06-05T11:50:37Z,0,
Kevin Thomas,*can someone tell me how to connect Oracle database to this PopSQL.*,2021-04-15T15:15:24Z,0,
xk derhaka,"SOMEBODY CAN solve TABLE ""    "" already exist?",2021-04-08T13:28:49Z,0,
xk derhaka,help me why i get permission denied for schema public for the first code,2021-04-08T04:06:28Z,0,
scign,I see what you did there,2021-03-15T00:33:22Z,0,
J Y,great video,2021-02-25T08:26:48Z,0,
YeahThisMilk,"@Raghvendra Swarnakar I'm having the same issue, did you figure this part out?",2021-02-22T17:49:24Z,0,
Ben Sopher,The installation process is so outdated ...,2021-01-06T13:03:47Z,2,
Mabud Ali Sarkar,Do you have TCL course video ?,2020-11-28T01:06:25Z,0,
Alexandr Osipov,Should I click INNER JOIN or OUTER ?,2020-10-22T12:28:30Z,0,
sumit kumar,"getting
(ER_PARSE_ERROR: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 100' at line 1)
 when using (SELECT * FROM STUDENT;)
CAN SOMEBODY HELP.",2020-09-21T09:12:17Z,0,
guilhermebgirardi,Just saying that we don't mind a video full of ads at all. Those who complain are totally misled. Please earn money with Youtube as much  as you can to support this venerable free teaching system. Thanks a lot!,2020-09-14T05:32:20Z,1,
Wayne T,Hi mike.  I start to  learning sql. However you show us where you down load popsql.  But bad news is that it expire in 14 days.  Any suggestion,2020-09-14T03:59:32Z,0,
himanshu keshtwal,@Divya Kukreja thanks,2020-09-13T04:45:36Z,0,
